Week Num,Location,Set,Bottle,Date,Time,Sample Type,F (mg/L),CL (mg/L),NO2 (mg/L),NO3 (mg/L),SO4 (mg/L),SIO2 (mg/L),NH3 (mg/L),SRP (mg/L),TP (mg/L),TKN (mg/L),SS (mg/L),NPOC (mg/L),TN (mg/L),COND (mჾ)
20,MBG,RJ,1,02/06/23,1200,SAMPLE,0.27,44.9,0,6.5,54.9,7.2948,0.1534,0.0796,0.217,1.014,22.35,5.913,6.453,-9
20,MBG,RJ,4,02/07/23,1200,SAMPLE,0.27,44.9,0,6.35,57,7.1864,0.0905,0.0782,0.2164,1.095,46.34,5.785,6.237,-9
20,MBG,RJ,7,02/08/23,1200,SAMPLE,0.28,43.8,0,6.24,57.4,7.1956,0.1195,0.0729,0.1874,0.903,21.8,6,6.201,-9
20,MBG,RJ,10,02/09/23,1200,SAMPLE,0.23,27.8,0,4.22,38.6,6.3203,0.074,0.0735,0.6666,2.154,368.63,6.233,4.883,-9
20,MBG,RJ,11,02/09/23,2000,SAMPLE,0.28,25.8,0.05,5.48,35.7,6.4084,0.015,0.0673,0.7943,2.714,447.88,8.336,4.885,-9
20,MBG,RJ,12,02/10/23,0400,SAMPLE,0.29,26,0.05,5.69,33.1,6.4137,0.0171,0.0744,0.8685,3.229,436.21,8.276,5.108,-9
20,MBG,RJ,13,02/10/23,1200,SAMPLE,0.28,25.9,0.05,5.66,32.5,6.5925,0.0215,0.0845,0.8479,3.666,433.85,8.45,5.047,-9
20,MBG,RJ,14,02/10/23,2000,SAMPLE,0.28,25.3,0.06,5.21,34.6,6.4564,0.036,0.0829,0.7722,2.654,405.69,9.274,4.735,-9
20,MBG,RJ,15,02/11/23,0400,SAMPLE,0.27,22.1,0.06,5.07,29.7,6.5181,0.0096,0.0786,0.9303,3.033,538.68,8.945,4.516,-9
20,MBG,RJ,16,02/11/23,1200,SAMPLE,0.27,24.1,0.06,5.24,30.1,6.389,0.0155,0.0916,0.9477,2.907,514.16,9.156,4.788,-9
20,MBG,RJ,19,02/12/23,1200,SAMPLE,0.28,31.5,0.06,5.54,36.2,6.7749,0.0265,0.0946,0.6111,2.394,268.72,9.062,5.066,-9
20,MBG,RJ,24,02/13/23,0920,BOTH,0.27,31.2,0.05,5.97,38.8,6.8824,0.0653,0.0943,0.5177,1.9,177.25,7.705,5.832,-9
21,MBG,RD,1,02/13/23,1200,SAMPLE,0.27,30.8,0.11,5.88,36.2,6.9554,0.0421,0.0973,0.5496,1.967,176.08,7.793,5.604,-9
21,MBG,RD,4,02/14/23,1200,SAMPLE,0.26,29.2,0,5.61,36.1,6.9817,0.0773,0.1005,0.4798,1.938,119.96,7.96,5.083,-9
21,MBG,RD,7,02/15/23,1200,SAMPLE,0.26,29.4,0.11,5.83,36.6,6.9602,0.0725,0.0976,0.5526,2.183,253.73,7.976,5.353,-9
21,MBG,RD,10,02/16/23,1200,SAMPLE,0.27,32.1,0,6.03,42.7,7.4374,0.109,0.1019,0.3784,1.786,74.53,7.824,5.348,-9
21,MBG,RD,13,02/17/23,1200,SAMPLE,0.27,32.5,0,5.7,41.8,7.002,0.0756,0.0937,0.3224,1.539,54.99,8.463,4.714,-9
21,MBG,RD,16,02/18/23,1200,SAMPLE,0.26,34.1,0,5.63,46.9,6.8431,0.0532,0.0829,0.3519,1.685,116.96,8.071,4.782,-9
21,MBG,RD,19,02/19/23,1200,SAMPLE,0.26,34.7,0,5.56,51,6.8301,0.0475,0.0767,0.29,1.709,79.14,7.844,4.995,-9
21,MBG,RD,24,02/20/23,0942,BOTH,0.27,36.3,0,5.56,52.6,6.9169,0.0779,0.0716,0.2278,1.131,39.56,6.829,5.358,-9
22,MBG,RA,1,02/20/23,1200,SAMPLE,0.15,36.2,0,6.09,56.6,7.0958,0.056,0.0766,0.228,1.165,37.59,7.251,6.391,-9
